# TIME,RAW [-],PERMITTIVITY [-]
1738405800.000,18.438,0.064
1738406700.000,35.438,0.000
1738407600.000,30.672,16.672
1738408500.000,20.429,11.400
1738409400.000,19.180,3.839
1738410300.000,25.501,0.000
1738411200.000,11.409,12.830
1738412100.000,19.537,24.878
1738413000.000,31.370,8.701
1738413900.000,19.429,7.571
1738414800.000,33.747,10.197
1738415700.000,23.287,8.604
1738416600.000,17.480,6.545
1738417500.000,6.065,4.454
1738418400.000,19.297,5.631
1738419300.000,20.202,19.243
1738420200.000,22.363,35.436
1738421100.000,26.371,3.091
1738422000.000,37.379,12.742
1738422900.000,23.037,19.393
1738423800.000,12.425,25.912
1738424700.000,14.294,9.360
1738425600.000,11.857,1.619
1738426500.000,17.242,14.004
1738427400.000,9.299,24.099
1738428300.000,28.452,10.973
1738429200.000,19.412,0.000
1738430100.000,40.096,13.243
1738431000.000,11.326,10.567
1738431900.000,11.352,5.378
1738432800.000,12.672,20.615
1738433700.000,20.607,16.108
1738434600.000,20.528,10.371
1738435500.000,15.479,9.151
1738436400.000,9.605,5.469
1738437300.000,20.665,16.979
1738438200.000,17.853,26.881
1738439100.000,29.825,7.809
1738440000.000,17.630,24.444
1738440900.000,35.920,0.000
1738441800.000,29.040,16.717
1738442700.000,29.345,0.000
1738443600.000,0.203,3.896
1738444500.000,19.513,10.128
1738445400.000,13.312,12.111
1738446300.000,14.380,29.640
1738447200.000,10.178,27.379
1738448100.000,23.462,2.929
1738449000.000,12.028,17.458
1738449900.000,28.109,27.047
1738450800.000,17.482,3.708
1738451700.000,26.247,3.350
1738452600.000,18.660,8.789
1738453500.000,12.685,0.000
1738454400.000,0.000,27.787
1738455300.000,24.976,29.829
1738456200.000,26.902,13.508
1738457100.000,21.614,14.783
1738458000.000,13.576,0.000
1738458900.000,9.346,22.643
1738459800.000,25.323,4.094
1738460700.000,27.387,24.681
1738461600.000,22.045,10.468
1738462500.000,15.127,19.824
1738463400.000,34.566,7.574
1738464300.000,17.767,1.603
1738465200.000,31.015,21.819
1738466100.000,15.956,2.037
1738467000.000,26.462,3.104
1738467900.000,14.785,6.232
1738468800.000,19.850,21.730
1738469700.000,29.585,11.188
1738470600.000,13.249,0.000
1738471500.000,34.905,27.053
1738472400.000,21.393,16.780
1738473300.000,19.419,13.476
1738474200.000,21.282,1.446
1738475100.000,12.493,19.739
1738476000.000,26.650,9.108
1738476900.000,10.680,0.000
1738477800.000,24.552,22.354
1738478700.000,7.957,30.061
1738479600.000,28.592,0.000
1738480500.000,21.741,17.074
1738481400.000,16.239,10.158
1738482300.000,5.742,25.398
1738483200.000,36.559,10.622
1738484100.000,20.551,10.613
1738485000.000,16.745,0.503
1738485900.000,22.901,14.226
1738486800.000,21.638,1.363
1738487700.000,4.672,24.683
1738488600.000,21.744,28.185
1738489500.000,24.283,4.426
1738490400.000,16.157,37.711
1738491300.000,23.333,7.033
1738492200.000,19.439,12.826
1738493100.000,2.483,15.038
1738494000.000,18.884,2.557
1738494900.000,12.234,5.742
1738495800.000,41.153,9.591
1738496700.000,6.432,11.068
1738497600.000,26.232,2.487
1738498500.000,40.573,16.022
1738499400.000,31.052,12.793
1738500300.000,28.631,8.490
1738501200.000,7.881,24.888
1738502100.000,18.388,0.000
1738503000.000,41.998,19.526
1738503900.000,15.412,0.000
1738504800.000,27.851,12.664
1738505700.000,35.578,0.000
1738506600.000,14.300,6.353
1738507500.000,21.672,0.000
1738508400.000,21.806,8.998
1738509300.000,23.606,4.906
1738510200.000,29.572,0.000
1738511100.000,16.254,24.320
1738512000.000,22.867,5.547
1738512900.000,21.105,27.021
1738513800.000,28.872,0.000
1738514700.000,15.791,7.296
1738515600.000,11.329,2.573
1738516500.000,22.826,5.190
1738517400.000,20.566,5.323
1738518300.000,18.018,0.000
1738519200.000,28.972,0.000
1738520100.000,15.772,7.423
1738521000.000,24.462,8.887
1738521900.000,12.751,13.325
1738522800.000,18.614,4.635
1738523700.000,15.739,0.000
1738524600.000,13.476,0.000
1738525500.000,7.860,10.618
1738526400.000,19.620,0.000
1738527300.000,21.636,14.982
1738528200.000,28.856,12.466
1738529100.000,18.886,15.185
1738530000.000,17.739,16.995
1738530900.000,10.519,14.953
1738531800.000,11.367,17.628
1738532700.000,18.418,19.689
1738533600.000,14.186,1.297
1738534500.000,0.537,10.608
1738535400.000,21.369,11.305
1738536300.000,18.064,8.127
