# TIME,HUMIDITY [-],TEMPERATURE [°C]
1738212300.000,31.436,2.717
1738213200.000,16.725,0.000
1738214100.000,10.162,6.107
1738215000.000,32.291,19.449
1738215900.000,9.641,6.809
1738216800.000,22.992,6.259
1738217700.000,35.521,7.327
1738218600.000,27.359,0.000
1738219500.000,21.968,6.962
1738220400.000,13.809,10.788
1738221300.000,24.213,14.700
1738222200.000,7.690,8.714
1738223100.000,15.559,12.119
1738224000.000,42.591,31.694
1738224900.000,9.381,9.395
1738225800.000,14.889,34.176
1738226700.000,29.674,15.265
1738227600.000,26.326,16.437
1738228500.000,44.449,0.000
1738229400.000,17.658,0.000
1738230300.000,26.098,14.888
1738231200.000,27.938,7.806
1738232100.000,38.332,11.257
1738233000.000,32.498,2.099
1738233900.000,16.498,4.912
1738234800.000,20.392,0.000
1738235700.000,26.643,15.370
1738236600.000,21.573,4.645
1738237500.000,10.909,19.655
1738238400.000,19.495,2.708
1738239300.000,17.692,22.748
1738240200.000,14.394,16.457
1738241100.000,6.553,1.161
1738242000.000,25.076,24.228
1738242900.000,17.100,4.783
1738243800.000,25.084,18.573
1738244700.000,10.190,7.737
1738245600.000,27.882,0.000
1738246500.000,7.830,24.263
1738247400.000,4.165,13.849
1738248300.000,17.266,12.525
1738249200.000,18.914,26.856
1738250100.000,29.159,15.277
1738251000.000,6.162,7.441
1738251900.000,0.000,12.591
1738252800.000,48.696,0.000
1738253700.000,12.169,27.719
1738254600.000,4.763,0.000
1738255500.000,4.442,7.533
1738256400.000,15.120,0.000
1738257300.000,11.903,19.243
1738258200.000,5.799,22.553
1738259100.000,30.400,3.597
1738260000.000,32.741,7.531
1738260900.000,4.320,0.627
1738261800.000,31.472,11.794
1738262700.000,33.283,20.857
1738263600.000,29.948,12.664
1738264500.000,9.241,4.107
1738265400.000,12.542,23.428
1738266300.000,39.178,23.355
1738267200.000,21.769,0.153
1738268100.000,21.023,0.000
1738269000.000,0.000,18.779
1738269900.000,5.751,14.410
1738270800.000,12.831,0.000
1738271700.000,25.763,18.343
1738272600.000,36.477,0.000
1738273500.000,20.559,14.847
1738274400.000,27.836,29.408
1738275300.000,6.302,7.805
1738276200.000,19.427,12.400
1738277100.000,3.938,0.000
1738278000.000,12.425,0.000
1738278900.000,39.612,0.561
1738279800.000,6.583,8.485
1738280700.000,15.613,12.836
1738281600.000,27.554,17.769
1738282500.000,27.559,14.970
1738283400.000,6.147,9.899
1738284300.000,23.547,0.000
1738285200.000,6.645,10.998
1738286100.000,21.223,28.622
1738287000.000,17.837,4.816
1738287900.000,42.162,0.723
1738288800.000,26.619,3.411
1738289700.000,40.379,9.431
1738290600.000,29.687,20.937
1738291500.000,22.462,0.000
1738292400.000,13.754,15.980
1738293300.000,26.567,0.000
1738294200.000,19.819,18.294
1738295100.000,19.036,18.215
1738296000.000,15.941,7.439
1738296900.000,29.317,1.867
1738297800.000,18.817,10.268
1738298700.000,14.444,12.096
1738299600.000,27.303,4.713
1738300500.000,26.308,0.000
1738301400.000,20.087,21.292
1738302300.000,10.797,21.866
1738303200.000,15.667,24.709
1738304100.000,37.982,15.171
1738305000.000,14.219,16.855
1738305900.000,24.671,11.004
1738306800.000,28.741,9.784
1738307700.000,13.496,14.413
1738308600.000,26.296,3.426
1738309500.000,19.735,18.413
1738310400.000,20.465,0.000
1738311300.000,0.000,4.719
1738312200.000,26.075,11.408
1738313100.000,16.950,12.935
1738314000.000,18.040,16.435
1738314900.000,21.427,0.000
1738315800.000,18.485,6.877
1738316700.000,19.103,14.721
1738317600.000,24.069,10.983
1738318500.000,16.952,15.537
1738319400.000,3.334,32.096
1738320300.000,18.930,8.342
1738321200.000,30.457,15.873
1738322100.000,0.000,0.000
1738323000.000,9.125,12.800
1738323900.000,21.278,33.641
1738324800.000,8.670,3.658
1738325700.000,17.974,8.065
1738326600.000,18.855,6.577
1738327500.000,20.395,12.087
1738328400.000,22.323,10.697
1738329300.000,18.226,0.000
1738330200.000,23.534,31.091
1738331100.000,32.620,24.445
1738332000.000,29.980,13.021
1738332900.000,23.897,6.458
1738333800.000,25.968,0.000
1738334700.000,21.626,19.993
1738335600.000,12.549,10.789
1738336500.000,9.867,24.760
1738337400.000,12.136,4.822
1738338300.000,18.223,5.002
1738339200.000,9.627,22.781
1738340100.000,16.929,11.967
1738341000.000,20.319,0.000
1738341900.000,16.349,10.232
1738342800.000,19.337,17.887
1738343700.000,0.000,0.000
1738344600.000,17.102,0.000
1738345500.000,19.883,16.029
1738346400.000,23.134,9.183
1738347300.000,16.437,0.000
1738348200.000,30.755,13.379
1738349100.000,36.159,5.196
1738350000.000,3.832,19.175
1738350900.000,7.061,12.871
1738351800.000,15.874,0.000
1738352700.000,17.475,6.497
1738353600.000,25.247,8.007
1738354500.000,24.712,18.541
1738355400.000,23.705,5.474
1738356300.000,7.726,0.000
1738357200.000,1.370,3.365
1738358100.000,24.755,14.975
1738359000.000,37.190,13.420
1738359900.000,29.000,3.603
1738360800.000,18.361,19.623
1738361700.000,14.548,4.223
1738362600.000,19.294,1.648
1738363500.000,28.450,0.000
1738364400.000,18.742,16.266
1738365300.000,0.000,15.409
1738366200.000,20.469,18.769
1738367100.000,28.810,24.429
1738368000.000,27.146,11.482
1738368900.000,39.374,12.020
1738369800.000,34.388,0.000
1738370700.000,18.580,11.808
1738371600.000,39.061,2.239
1738372500.000,22.461,15.658
1738373400.000,22.359,6.120
1738374300.000,18.476,10.290
1738375200.000,42.085,18.826
1738376100.000,26.828,0.000
1738377000.000,18.822,20.577
1738377900.000,19.769,18.620
1738378800.000,22.949,7.224
1738379700.000,2.494,0.208
1738380600.000,35.886,0.000
1738381500.000,22.481,3.085
1738382400.000,25.252,16.221
1738383300.000,9.741,0.000
1738384200.000,16.958,21.488
1738385100.000,1.486,1.872
1738386000.000,10.056,7.721
1738386900.000,19.671,0.000
1738387800.000,21.168,14.700
1738388700.000,12.243,23.293
1738389600.000,0.000,12.328
1738390500.000,27.106,0.000
1738391400.000,38.953,12.690
1738392300.000,0.000,26.924
1738393200.000,29.187,15.006
1738394100.000,14.767,1.492
1738395000.000,30.517,10.949
1738395900.000,33.923,30.972
1738396800.000,26.717,5.207
1738397700.000,44.825,12.649
1738398600.000,17.172,12.107
1738399500.000,23.341,14.833
1738400400.000,9.173,9.934
1738401300.000,14.173,5.276
1738402200.000,12.728,33.681
1738403100.000,26.312,31.061
1738404000.000,22.194,13.343
1738404900.000,0.000,1.519
1738405800.000,24.691,9.437
1738406700.000,28.214,13.389
1738407600.000,13.957,0.000
1738408500.000,29.399,7.100
1738409400.000,34.193,9.874
1738410300.000,6.350,4.477
1738411200.000,7.427,15.557
1738412100.000,19.675,7.370
1738413000.000,22.812,13.621
1738413900.000,25.454,8.826
1738414800.000,15.403,11.065
1738415700.000,11.837,2.257
1738416600.000,33.627,12.810
1738417500.000,48.250,6.031
1738418400.000,15.045,18.071
1738419300.000,22.270,10.281
1738420200.000,19.286,2.625
1738421100.000,25.364,2.173
1738422000.000,16.938,11.343
1738422900.000,13.890,7.564
1738423800.000,23.052,0.000
1738424700.000,0.000,30.948
1738425600.000,5.483,0.449
1738426500.000,17.214,7.489
1738427400.000,20.367,3.513
1738428300.000,16.320,17.605
1738429200.000,18.871,11.409
1738430100.000,29.963,8.915
1738431000.000,16.993,0.000
1738431900.000,43.744,10.203
1738432800.000,13.396,17.038
1738433700.000,9.197,9.169
1738434600.000,26.430,9.629
1738435500.000,20.103,8.841
1738436400.000,12.373,3.352
1738437300.000,26.874,0.000
1738438200.000,13.309,8.055
1738439100.000,26.398,21.992
1738440000.000,23.930,7.186
1738440900.000,16.796,20.568
1738441800.000,5.471,10.602
1738442700.000,25.804,15.275
1738443600.000,17.699,3.463
1738444500.000,16.036,5.343
1738445400.000,25.082,3.483
1738446300.000,16.626,0.000
1738447200.000,6.599,24.724
1738448100.000,18.852,13.610
1738449000.000,20.035,0.000
1738449900.000,10.104,13.306
1738450800.000,30.552,4.365
1738451700.000,29.403,12.514
1738452600.000,25.688,5.219
1738453500.000,7.056,6.140
1738454400.000,13.088,11.322
1738455300.000,22.140,8.020
1738456200.000,31.351,2.859
1738457100.000,33.176,9.916
1738458000.000,19.215,28.807
1738458900.000,19.573,10.575
1738459800.000,27.134,10.690
1738460700.000,12.243,14.341
1738461600.000,12.324,6.271
1738462500.000,7.586,3.587
1738463400.000,28.483,5.596
1738464300.000,18.230,2.207
1738465200.000,14.449,2.187
1738466100.000,28.453,0.000
1738467000.000,34.553,20.362
1738467900.000,22.046,10.315
1738468800.000,15.735,14.580
1738469700.000,27.526,18.680
1738470600.000,12.402,10.533
1738471500.000,38.438,17.347
1738472400.000,30.279,10.007
1738473300.000,28.913,0.000
1738474200.000,6.654,8.691
1738475100.000,23.698,6.140
1738476000.000,17.769,0.000
1738476900.000,19.671,14.513
1738477800.000,5.483,0.000
1738478700.000,33.850,0.000
1738479600.000,24.541,0.000
1738480500.000,20.982,22.366
1738481400.000,17.446,6.912
1738482300.000,33.574,18.221
1738483200.000,23.919,9.084
1738484100.000,39.697,1.625
1738485000.000,31.212,22.605
1738485900.000,8.460,21.557
1738486800.000,5.356,2.152
1738487700.000,6.842,16.857
1738488600.000,18.256,8.682
1738489500.000,44.352,16.409
1738490400.000,31.530,13.066
1738491300.000,21.405,9.422
1738492200.000,35.063,1.845
1738493100.000,12.165,20.543
1738494000.000,17.815,14.243
1738494900.000,31.732,9.412
1738495800.000,20.403,16.475
1738496700.000,17.861,15.905
1738497600.000,22.230,7.335
1738498500.000,2.161,21.218
1738499400.000,10.094,7.296
1738500300.000,18.264,28.343
1738501200.000,18.134,0.137
1738502100.000,30.702,17.888
1738503000.000,14.420,7.080
1738503900.000,12.069,16.553
1738504800.000,31.600,0.373
1738505700.000,16.556,0.046
1738506600.000,25.020,15.768
1738507500.000,17.108,0.000
1738508400.000,2.925,11.060
1738509300.000,13.165,11.751
1738510200.000,16.251,13.618
1738511100.000,15.160,0.000
1738512000.000,13.233,7.606
1738512900.000,15.926,23.031
1738513800.000,12.863,37.335
1738514700.000,21.570,2.279
1738515600.000,37.192,0.000
1738516500.000,6.751,10.559
1738517400.000,12.468,0.000
1738518300.000,21.165,21.150
1738519200.000,23.542,0.000
1738520100.000,27.810,10.421
1738521000.000,4.781,37.737
1738521900.000,49.307,10.432
1738522800.000,32.442,18.890
1738523700.000,10.639,21.829
1738524600.000,28.153,39.131
1738525500.000,39.684,10.708
1738526400.000,30.799,0.000
1738527300.000,26.078,0.000
1738528200.000,18.849,20.803
1738529100.000,20.117,16.770
1738530000.000,16.131,28.367
1738530900.000,14.486,0.000
1738531800.000,14.116,21.122
1738532700.000,15.785,0.000
1738533600.000,24.934,6.455
1738534500.000,11.675,1.351
1738535400.000,16.151,15.793
1738536300.000,17.719,16.315
